# f0,f1,f2,f3,f4
9.509057583236910083e-02,-1.406986057664710299e-01,-2.053703011209222565e-02,-1.328874831940623884e-02,6.613147780216195246e-03
-8.567466072467169735e-02,-9.740423760007616005e-02,-3.119824693511077333e-03,6.716898412405981900e-02,1.244482891819089290e-02
5.256117721793526210e-01,4.845541862197734195e-01,9.958104218734433952e-03,1.243182274040921659e-01,2.681278146717573987e-02
-2.636010625183146661e-01,-5.644921045630326567e-02,-4.616315960741417153e-03,8.362952499383226324e-02,1.206629731048579346e-02
4.690192764148599647e-01,1.217362574647995604e-01,1.018897482414104182e-02,1.356830397239346675e-01,2.565307966904384687e-02
-5.749360301839965270e-01,-1.803159939198434314e-01,-3.941325270352536228e-03,-1.250494339710593317e-01,-1.616085453340986022e-02
4.549033437957257231e-01,-3.046747974631870345e-02,2.006782117701277554e-02,1.758533124783460133e-01,1.337129422862545942e-02
-5.966939184965428522e-01,-1.871394858425043106e-01,-3.644921196313362019e-03,-1.783164875571907337e-01,-1.422035191843690378e-02
5.191654947730746095e-01,4.407030174156989499e-01,1.446580828415108128e-02,8.762737345077056816e-02,1.169368890316690134e-02
4.784646344965138298e-01,9.449448156779383101e-02,1.411055244594649517e-02,1.854706256359739402e-01,2.063676663960251415e-02
-5.583179908121542745e-01,-1.761788007233912046e-01,3.746266974807781636e-03,-3.234804126880590214e-02,-4.189619416729158108e-02
-6.546592662556816045e-01,-1.998918749799025729e-01,-5.968463937173567289e-03,-3.429436998343129428e-01,-4.786595393327047754e-02
-1.887453994862084983e-01,-9.646083188352350124e-02,-1.520074759385067927e-02,8.174780899255808253e-02,1.388713740628887139e-02
-2.451617773412553547e-01,-1.018838922465408747e-01,-1.654309233131414161e-02,7.298116250568313645e-02,9.387323080877080575e-03
3.873216778005811878e-01,-8.347535816461515434e-02,4.855005083654191124e-03,1.126601414973521335e-02,1.207986539790653104e-02
1.897397052458924815e-01,-8.161268149777925474e-02,-9.148185296478459488e-03,-3.946586119419350468e-03,2.227818792971220443e-02
-5.503654132676354394e-01,-1.766469634894514140e-01,-3.081733088436067192e-03,-7.228723192481624482e-02,2.749356083938778172e-02
-5.459811644530537800e-01,-1.952374043556443506e-01,-3.012711539902284286e-03,5.481279985334878979e-02,-7.321994516813618015e-02
-5.355903953749748814e-01,-1.672469938417901758e-01,4.396538846594921952e-03,-1.332371452208235517e-02,2.763342352502888913e-02
-5.571682746094779315e-01,-1.790619203983959684e-01,-3.753344419400264122e-03,-4.016546788571929288e-02,-4.417914202498082060e-02
-6.827184148877233349e-01,-2.131649748039643466e-01,-3.313740281533625754e-03,-4.436945253623810204e-01,-6.597911454136806686e-02
-1.874376314240913666e-01,-4.267275379668859780e-02,-1.388764216371726062e-02,8.871364044023977158e-02,1.208870734866550854e-02
5.132780330028237081e-01,4.082533025738717680e-01,7.011596581413641338e-03,1.227868570754222372e-01,2.244193000147248415e-02
-6.453563269774491573e-01,-1.932481286417936373e-01,-3.335814612320859695e-03,-3.206344130449991781e-01,-3.954559485912454569e-02
2.939315074870412769e-01,-8.587723291098597889e-02,6.195133969396237781e-04,6.153363815006116649e-03,8.985410115790272434e-03
1.004373316085465651e-01,-1.619897487848584172e-01,-2.564693611070083604e-02,-1.004459696697125592e-02,8.006432323207378354e-03
-5.842655773690432763e-01,-1.756405760584874576e-01,-4.181492244543391808e-03,-1.454874878752070722e-01,-3.205398972303555305e-02
-5.866294498955193504e-01,-1.822523609007811185e-01,-3.620938663341917180e-03,-1.464829793948234649e-01,-3.559689709467590835e-02
-6.287638732512493833e-01,-2.009829494659021443e-01,-2.058065358939984487e-03,-2.522606151198402702e-01,-8.382628289096885621e-02
-6.094108072735263670e-01,-1.944269743586022614e-01,-5.159640380710471021e-03,-2.561027748696824147e-01,-1.539118937589591986e-02
5.486547875886850223e-01,5.459997964830382022e-01,9.679039669168786747e-03,1.752885097721892382e-01,2.144830064076160003e-02
5.416797240569843908e-01,5.486210101950365070e-01,1.344080507909325289e-02,1.396859610009263952e-01,2.889789199482237225e-02
3.090383161491919717e-01,-8.269209099288786502e-02,-6.461839011595884447e-03,3.558358196094957293e-03,1.527832747717525370e-02
-3.636261529398467363e-01,-3.062716319087399955e-02,-1.309881928589788982e-03,7.699188411785513886e-02,1.730694955591516662e-02
4.389658737742480610e-01,-3.647104913919307217e-02,6.152119468201817758e-03,1.088801335428385697e-01,1.760765317854037434e-02
1.750722583993666592e-01,-1.630064105394717355e-01,-1.670736093963171368e-02,-8.402275756609185742e-03,1.477051218191789347e-02
-5.780566736990840893e-01,-1.775595085240951332e-01,-3.223094914723105987e-03,-1.620692144530644918e-01,1.503484183907517063e-02
5.062938922150630461e-01,2.628356690211481328e-01,1.183722406955098512e-02,1.960532457038723919e-01,2.050831550070398787e-02
-5.453657054421057193e-01,-1.853508786971343747e-01,-1.397837931515368828e-03,3.285363176450914469e-02,-7.784243894592862700e-02
-1.998794956356115815e-01,-7.728610239527995696e-02,-1.303204460539973339e-02,8.691784085543816096e-02,1.161678964476664001e-02
-3.958179365356951918e-01,-4.960345231517777898e-02,-9.672050951666620253e-03,6.132170893560896785e-02,1.372167922668168609e-02
-5.777531230673321749e-01,-1.808121682893641946e-01,-3.942693070608811051e-03,-1.479618592917594788e-01,-1.682383503838139061e-02
5.093871155345499613e-01,3.776590248261573191e-01,1.196713898369807828e-02,1.212244969465589850e-01,3.145846758607404731e-02
